contract_no,supplier,description,begin_date,end_date,max_amount
0000000000000000000005026,1ST FP AUSTIN LLC,Life Safety Services Contract,9/1/2025,8/31/2030,"$235,000.00"
0000000000000000000005563,2551 KATY FBR LLC,Office Lease in Katy TX,3/23/2026,6/30/2036,"$1,336,770.00"
405-13-30266,2763 KUYKENDAHL LLC,Building Lease - Spring 20296,9/1/2012,8/31/2032,"$10,351,389.00"
0000000000000000000005339,401 EAST HOUSTON STREET LLC,SAN ANTONIO-TFC LEASE 20827,11/21/2025,11/30/2035,"$11,626,240.80"
0000000000000000000004865,4MATTHEWS ENTERPRISE LLC,TFC LSE.20808 GATESVILLE,8/1/2025,7/31/2035,"$1,335,000.00"
405-17-P009673,6592 AMARILLO LLC,TFC Bldg Lease-Amarillo 20528,8/24/2016,6/30/2027,"$20,582,543.34"
0000000000000000000003703,AAMVA,AAMVA Cont. FY24-29,3/1/2024,2/28/2029,"$20,000,000.00"
0000000000000000000002255,"ABSOLUTE FACILITY SOLUTIONS, LLC",Facilites Connect,6/3/2022,6/3/2027,"$975,000.00"
0000000000000000000002838,ABUNDANS INFORMATION TECHNOLOGY LLC,Grammarly Subscription,3/1/2023,2/28/2028,"$394,785.06"
0000000000000000000002773,"ACE FLOORING SOLUTIONS, LLC",BLANKET FLOORING CONTRACT,1/12/2023,1/11/2028,"$950,000.00"
0000000000000000000003357,ADVOWASTE MEDICAL SERVICES  LLC,Biohazard and Medical Waste,9/1/2023,8/31/2028,"$158,595.00"
0000000000000000000005246,AEROBRIGHAM LLC,"Aircraft Maint Regions 1,5,&6",10/17/2025,8/31/2030,"$500,000.00"
0000000000000000000005422,AGILENT TECHNOLOGIES INC,CLD - GCMS w/ Turbo Pump,1/8/2026,1/8/2027,"$544,851.05"
0000000000000000000005170,AIR POWER INC,Air Power- Quote,8/29/2025,8/31/2026,"$277,532.00"
0000000000000000000003931,AIRBUS HELICOPTERS INC,AOD Parts and Supplies,8/22/2024,8/31/2029,"$5,000,000.00"
0000000000000000000005028,AIRBUS HELICOPTERS INC,H-125 Helicopters,7/31/2025,8/31/2027,"$19,927,429.00"
0000000000000000000004846,AIRGAS USA LLC,AY25 NEW Airgas Contract,7/1/2025,6/30/2029,"$480,000.00"
0000000000000000000004333,ALDINGER COMPANY,Calibration Services,3/1/2025,8/31/2029,"$652,809.00"
0000000000000000000005390,ALFRED WILLIAMS & COMPANY,San Antonio Alamo Office Remod,12/12/2025,8/31/2026,"$400,000.00"
0000000000000000000004683,ALL AMERICAN TRAILER CONNECTION INC,LEDU 22 Cargo Trailers,5/14/2025,8/31/2026,"$101,750.00"
0000000000000000000002394,ALL POINTS OF TEXAS,Household Moves & Relocations,7/1/2022,6/30/2026,"$1,500,000.00"
0000000000000000000005536,ALLAN STARK,Brady TFC Lease 20833,4/1/2026,3/31/2036,"$400,800.00"
0000000000000000000001062,ALSCO INC,ETR/THP Linen Services,9/1/2020,8/31/2026,"$588,184.96"
0000000000000000000005454,ALTACOLOR LLC,Recruit PTshirts&Waterbottles,1/30/2026,1/29/2029,"$330,000.00"
0000000000000000000000434,"ALVIDREZ ASSOCIATES, INC.",REG4 SG1 A/E Services,7/18/2019,8/31/2026,"$450,000.00"
0000000000000000000004114,AMERICAN EAGLE PROTECTIVE SERVICES CORP,FY25 SOLCT Whooster,9/12/2024,9/14/2029,"$2,482,185.05"
0000000000000000000004454,AMZUR TECHNOLOGIES INC,Staff Aug - DL Rolodex,3/17/2025,8/31/2026,"$392,729.60"
0000000000000000000004037,AMZUR TECHNOLOGIES INC,TCIC Reports Staff Aug,6/27/2024,8/31/2026,"$410,400.00"
0000000000000000000004374,ANAVALE MANAGEMENT LLC,San Antonio TFC Lease 20605,1/1/2025,7/31/2029,"$447,783.20"
0000000000000000000004308,ANDE CORPORATION,ANDE Rapid Service Contract,12/7/2024,12/6/2029,"$150,000.00"
0000000000000000000005481,ANDE CORPORATION,ANDE DNA,2/17/2026,2/17/2027,"$914,550.00"
0000000000000000000004138,ANDERSON POLLUTION CONTROL INC,HazMAt Cleanup/Disposal,9/1/2024,8/31/2029,"$750,000.00"
0000000000000000000004156,ANSI NATIONAL ACCREDITATION BOARD LLC,Forensic Lab Accreditations,12/1/2024,12/31/2028,"$700,000.00"
0000000000000000000004571,APOLLO INFORMATION SYSTEMS CORP,Active Directory Protection,5/6/2025,5/5/2030,"$1,727,826.65"
